Title,Filename,Album,Year
"100,000 Tons of Steel","100,000_Tons_of_Steel.txt",In The Dark,1987
Alabama Getaway ,Alabama_Getaway.txt,Go To Heaven,1980
All New Minglewood Blues ,All_New_Minglewood_Blues.txt,Shakedown Street,1978
Alligator,Alligator.txt,Anthem Of The Sun,1968
Althea ,Althea.txt,Go To Heaven,1980
Attics Of My Life ,Attics_of_My_Life.txt,American Beauty,1970
Beat it on Down The Line,Beat_it_on_Down_The_Line.txt,The Grateful Dead,1967
Black Muddy River ,Black_Muddy_River.txt,In The Dark,1987
Black Peter,Black_Peter.txt,Workingman's Dead,1970
Blow Away ,Blow_Away.txt,Built To Last,1989
Blues For Allah,Blues_For_Allah.txt,Blues For Allah,1975
Born Cross-Eyed,Born_Cross-Eyed.txt,Anthem Of The Sun,1968
Box of Rain,Box_of_Rain.txt,American Beauty,1970
Brokedown Palace,Brokedown_Palace.txt,American Beauty,1970
Built To Last ,Built_to_Last.txt,Built To Last,1989
Candyman,Candyman.txt,American Beauty,1970
Casey Jones,Casey_Jones.txt,Workingman's Dead,1970
Caution,Caution.txt,Anthem Of The Sun,1968
China Cat Sunflower,China_Cat_Sunflower.txt,Aoxomoxoa,1969
China Doll,China_Doll.txt,Grateful Dead From The Mars Hotel,1974
Cold Rain and Snow,Cold_Rain_and_Snow.txt,The Grateful Dead,1967
Cosmic Charlie,Cosmic_Charlie.txt,Aoxomoxoa,1969
Crazy Fingers,Crazy_Fingers.txt,Blues For Allah,1975
Cream Puff War,Cream_Puff_War.txt,The Grateful Dead,1967
Cumberland Blues,Cumberland_Blues.txt,Workingman's Dead,1970
Dancing in the Streets,Dancing_in_the_Streets.txt,Terrapin Station,1977
Dire Wolf,Dire_Wolf.txt,Workingman's Dead,1970
Doin' That Rag,Doin'_That_Rag.txt,Aoxomoxoa,1969
Don't Ease Me In,Don't_Ease_Me_In.txt,Go To Heaven,1980
Dupree's Diamond Blues,Dupree's_Diamond_Blues.txt,Aoxomoxoa,1969
Easy To Love You,Easy_To_Love_You.txt,Go To Heaven,1980
Easy Wind,Easy_Wind.txt,Workingman's Dead,1970
Estimated Prophet,Estimated_Prophet.txt,Terrapin Station,1977
Eyes Of The World,Eyes_Of_The_World.txt,Wake Of The Flood,1973
Far From Me ,Far_From_Me.txt,Go To Heaven,1980
Feel Like A Stranger ,Feel_Like_A_Stranger.txt,Go To Heaven,1980
Fire On The Mountain,Fire_On_The_Mountain.txt,Shakedown Street,1978
Foolish Heart ,Foolish_Heart.txt,Built To Last,1989
France ,France.txt,Shakedown Street,1978
Franklin's Tower,Franklin's_Tower.txt,Blues For Allah,1975
